passengerId,longestRun
476,5
660,16
802,14
918,12
1131,4
1450,4
1564,4
1637,18
2152,7
2326,10
2388,5
2462,14
2815,3
3721,2
3829,8
3924,20
4196,6
4345,6
4566,8
4809,5
4855,6
4877,7
4959,3
5128,5
5379,5
5889,3
6180,17
6321,10
6504,5
6687,7
7570,4
7596,4
7788,6
7941,2
8053,3
8154,3
8202,12
8364,2
8581,14
8588,7
8774,4
8836,10
9248,4
9522,17
9622,6
9751,9
9823,5
10236,4
10412,7
10439,14
10505,3
10584,5
10628,2
10725,3
10992,5
11306,3
11387,4
11405,1
11561,5
12446,5
12620,2
12710,4
13005,3
13090,4
13199,2
13205,2
13291,3
13799,2
14135,4
14142,3
14281,3
14378,1
14409,1
14456,1
14669,4
14739,4
14894,1
14918,1
15049,4
