passengerId,longestRun
18,14
125,5
140,1
298,14
410,2
533,6
679,9
1015,16
1416,5
1613,15
1661,5
1830,8
1995,3
2139,9
2343,4
2946,11
3171,16
3271,10
3351,4
3402,10
3511,9
4146,7
4155,2
4260,13
4461,7
4472,6
4555,9
4613,13
4803,11
5112,10
5610,6
5775,20
5777,13
5975,8
6046,7
6137,6
6178,2
6345,8
6500,2
6877,9
7087,6
7196,7
7260,2
7385,4
7477,10
7942,1
8289,15
8294,9
8373,12
8489,2
8739,7
8806,6
8841,9
8882,17
8991,4
9494,7
9542,6
9853,5
10474,5
10819,10
10899,12
11253,7
11263,5
11341,8
11383,6
11427,5
11936,1
11964,7
12518,4
12544,6
13027,3
13245,3
13389,1
13543,1
13692,3
13701,1
14147,1
14373,3
14518,1
14830,1
14835,1
14933,1
15241,1
15365,2
15431,1
15483,1
