passengerId,longestRun
446,16
459,18
577,6
585,12
861,2
1046,16
1103,5
1236,12
1253,12
2114,4
2140,4
2567,12
2658,6
2898,1
3029,15
3216,12
3378,2
3387,2
3423,4
3809,10
3813,7
4301,8
4316,19
4580,16
4716,10
4750,3
5049,3
5081,17
5082,11
5231,9
5281,4
5317,3
5471,11
5508,9
5512,5
6099,11
6217,4
6565,11
6599,6
6606,1
6629,1
6876,7
6889,7
6942,8
7141,6
7150,2
7382,2
7395,11
7437,8
7492,5
7509,12
7785,8
7925,2
8422,2
8551,13
8621,11
8675,3
9814,3
9859,12
9890,6
9926,9
10117,8
10413,6
10503,8
10735,1
10803,2
11039,4
11369,7
11370,8
11442,6
11513,14
11882,3
12413,5
12869,1
12906,8
12937,6
13084,3
13144,2
13666,4
13707,3
13880,2
14046,1
14062,1
14126,1
14216,2
14783,3
14896,1
15009,1
15206,3
15323,2
15446,1
