passengerId,longestRun
84,4
378,14
1233,6
2012,12
2289,8
2821,5
2995,2
3559,5
4086,8
4125,13
4127,9
4397,14
4459,11
4487,9
4834,4
4926,3
5013,8
5305,3
5844,1
5891,4
6076,6
6237,8
6591,19
6969,2
7127,6
7880,3
8234,18
8433,6
8754,11
8768,1
8789,2
9096,5
9113,3
9204,4
9217,11
9255,7
9321,11
9450,3
9483,5
9523,8
9680,2
9966,6
10020,3
10368,12
10379,10
10450,5
10475,5
10481,10
10709,7
10915,2
11013,2
11147,8
11328,6
11371,8
11798,10
12423,4
12589,5
12684,3
13319,1
13516,3
14072,4
14295,3
15033,2
15453,1
