passengerId,longestRun
50,6
94,2
149,1
421,10
1038,14
1174,4
1816,9
1895,6
1949,6
2071,1
2162,15
2477,7
2710,9
2764,5
2772,6
3339,8
3660,11
3878,4
4020,17
4273,9
4278,12
4407,14
4608,4
4859,3
4932,13
4999,4
5057,4
5444,4
5949,8
6231,5
6298,4
6719,9
6761,3
6763,10
7919,14
8042,9
8282,6
8336,11
8453,5
9061,9
10146,1
10540,3
10671,3
10798,10
11209,1
11349,5
11518,5
11901,1
12107,3
12206,5
12320,1
12473,6
12496,2
12812,1
12825,1
12915,1
13412,2
13475,4
13837,2
13976,2
14179,1
14182,1
14268,2
14726,5
14993,1
15065,2
15220,2
