passengerId,longestRun
103,10
236,5
253,14
675,11
738,11
989,10
1116,5
1484,17
1629,2
1896,6
2180,10
2240,6
2338,9
2665,14
3004,2
3251,9
3501,3
3943,13
4281,13
4405,4
4409,8
4410,7
5264,3
5457,9
5477,13
5612,14
5647,6
6069,12
6691,1
6702,2
7172,11
7327,20
7556,10
7760,3
7810,20
8062,2
8656,9
8715,5
8898,6
9043,8
9124,4
9158,3
9453,7
9679,8
9877,6
10252,5
10270,8
10273,3
10807,1
10986,1
11451,2
11460,4
11555,2
11895,6
11987,6
12096,4
12527,3
12658,3
12703,4
13176,2
13459,3
13560,7
13749,2
14023,6
14205,2
14315,1
14613,2
14637,1
14645,3
14652,1
14774,3
15032,2
15079,3
15210,1
