passengerId,longestRun
48,1
67,6
224,9
517,15
673,9
755,19
953,15
1920,9
2085,1
2256,10
2315,8
2353,6
2919,5
3115,7
3282,1
3288,6
4241,11
4309,10
4382,8
4484,15
4583,8
4611,22
4773,4
5068,4
5687,3
6068,5
6142,5
6430,7
6624,1
6859,3
7125,3
7394,5
7397,9
7656,14
7746,9
8535,5
8736,11
8761,4
8780,1
9185,1
9258,12
9275,6
9350,4
9415,3
9462,7
9558,1
9681,4
9829,8
10173,8
10288,7
10648,3
10734,1
11432,7
11544,6
11565,6
11682,5
11957,14
12040,7
12218,4
12500,1
12707,4
12751,3
12948,7
12962,1
12974,3
13046,5
13378,6
13380,5
13599,2
13721,2
13780,2
14027,1
14102,1
14128,2
14541,3
14640,1
14691,4
14692,4
15028,1
15385,2
15392,3
