passengerId,longestRun
20,6
70,1
479,15
848,21
1215,7
1383,13
1422,7
1459,6
1525,12
1680,3
1759,8
1874,8
2028,4
2057,1
2340,5
2363,6
2512,10
3179,9
3461,14
3533,13
3722,7
3772,9
4027,11
4303,10
4649,7
4673,12
4888,7
5203,8
5359,8
5488,6
5522,14
5683,10
5686,13
5707,14
5779,11
5790,5
5835,1
5838,7
6058,5
6301,4
6482,5
6598,7
6711,10
7105,7
7138,11
7338,9
7559,10
8005,14
8073,10
8098,7
8633,2
8827,8
8831,8
8934,4
8969,8
8980,8
9005,5
9018,6
9313,6
9315,5
10153,6
10319,1
10409,9
10484,13
10522,3
10553,5
10884,1
11266,9
11503,2
11528,12
11902,1
12045,4
12330,2
12430,10
12443,5
12449,2
12637,2
13360,2
13539,3
13592,5
13635,2
13650,3
13824,3
14086,1
14728,4
14924,1
14990,1
15000,1
15406,1
15447,1
15476,1
