passengerId,longestRun
491,4
905,21
919,17
1189,14
1366,8
1820,7
2003,5
2120,4
2251,23
2809,4
3242,17
3447,11
3462,8
3644,8
3659,7
3663,16
3691,10
3783,4
3900,5
4365,7
4584,14
4627,18
4973,7
5050,5
5527,3
5719,7
5736,7
7155,2
7311,2
7611,9
7629,11
7789,9
7893,3
8449,3
8705,8
9106,1
9187,2
9234,11
9391,5
9513,15
9666,1
9893,8
9976,4
10018,6
10100,1
10342,3
10557,6
10576,12
10621,5
10874,1
11346,2
11471,1
11507,3
11663,3
11912,2
11984,1
12208,2
12232,6
12243,5
12442,1
12947,7
13001,2
13349,1
13437,2
13474,3
13484,3
13866,4
13900,9
14031,1
14044,6
14186,4
14238,2
14300,2
14374,4
15112,5
15170,3
15329,2
