passengerId,longestRun
80,11
622,12
774,13
778,16
807,7
1402,4
1448,8
1490,10
1533,12
1668,10
1679,6
2254,21
2417,7
2423,14
2569,12
2761,8
3052,11
3097,5
3111,6
3249,13
3416,11
3494,3
3555,6
3562,3
3673,4
3674,7
3748,8
4742,9
4915,5
5227,8
5386,2
5503,14
5540,8
5718,6
5793,9
6200,3
6790,7
6884,9
7378,5
7390,5
7874,11
8233,9
8447,3
8471,11
8556,15
9237,5
9380,10
9438,5
9478,10
9625,2
9828,14
9905,7
9930,8
10147,1
10312,1
10313,10
10581,6
10699,2
10706,6
11043,8
11244,1
11260,1
11546,5
11852,2
11893,1
12027,3
12119,6
12387,5
12401,5
12410,1
12417,4
12836,3
13203,7
13690,3
13739,2
14276,1
14699,1
14763,4
15203,2
15376,3
