passengerId,longestRun
579,6
780,16
1519,3
1824,10
2262,19
2385,10
2494,4
2541,15
2897,6
3190,5
3472,15
3697,3
4001,2
4106,13
4137,10
4282,8
4322,9
4332,9
4683,8
5191,10
5292,5
5414,16
5584,14
5619,6
5623,12
5657,7
5764,14
5989,15
6082,5
6218,6
6653,1
6737,9
6755,4
7020,10
7337,3
7660,12
7734,6
8016,2
8189,11
8384,9
8566,15
8821,17
8874,5
9531,2
9970,8
9987,9
10094,2
10132,1
10214,5
10250,6
10380,6
10521,5
10583,2
10652,9
10922,4
11511,2
12157,7
12167,2
12274,3
12393,1
12438,5
13128,2
13138,4
13350,1
13451,2
13537,3
13647,5
14292,2
14607,3
14619,2
14793,4
14865,1
15297,1
15386,2
15428,1
15457,1
