passengerId,longestRun
371,11
507,10
1034,14
1035,10
1138,14
1209,15
1339,6
1393,11
2011,1
2174,15
2379,12
2505,13
2564,5
2931,2
2945,10
3203,7
3228,1
3762,11
3810,5
4435,11
4543,16
4740,8
5037,15
5303,19
5954,11
6175,9
6335,11
6451,6
7291,11
7469,8
7685,14
7904,7
8258,9
8287,4
8464,6
8707,1
8728,1
8928,5
9300,15
10067,14
10286,1
10298,5
10326,9
10681,9
10792,4
11022,5
11675,5
11708,2
11885,11
11994,1
12685,4
12938,6
12987,5
13197,4
13691,2
13748,4
13935,3
14098,2
14817,1
14867,1
15069,1
15138,3
15436,1
15498,1
