passengerId,longestRun
305,10
652,12
1272,19
1479,8
1600,2
2141,4
2188,4
2301,3
2655,11
2836,4
2851,14
2917,4
3231,7
4165,14
4297,7
4600,2
4800,4
5012,20
5450,13
5769,18
5837,1
5842,17
6057,4
6291,3
6308,11
6492,2
6636,1
6659,1
7219,4
7440,5
7795,8
8510,15
8515,11
8616,2
8644,10
8948,9
9010,9
9224,3
9319,6
9514,2
9613,9
9837,5
10512,12
10543,3
10618,4
10650,1
10703,8
10750,1
10791,7
10820,1
10971,6
11198,16
11378,7
11449,4
11577,8
11685,2
11723,7
11732,3
11834,15
11979,2
12267,1
12485,1
12843,1
13142,4
13419,3
13548,1
13597,4
13737,4
13742,3
13914,3
14170,2
14309,2
14661,4
14889,1
14914,1
15137,3
15398,2
15451,1
15466,1
