passengerId,longestRun
281,23
336,6
612,6
698,11
839,19
1039,4
1883,10
1985,3
2269,13
2342,5
2702,19
2861,17
2890,1
2978,4
3012,14
3299,12
3458,3
3496,3
3661,9
3850,8
4341,12
4379,18
4499,4
4505,7
4741,5
4745,9
4837,5
5145,9
5285,4
5856,4
5995,10
6135,9
6304,10
7058,3
7154,3
7197,5
7418,15
7453,6
7708,4
7737,9
8207,4
8612,2
8901,10
9443,9
9528,4
9547,1
9729,3
10781,3
10802,14
11048,6
11063,9
11136,12
11164,4
11237,3
11403,6
11557,6
11733,5
12663,3
12758,4
12781,3
12876,1
12965,1
13180,3
13295,8
13722,3
13965,2
14138,1
14306,1
15118,2
15214,1
15260,1
15309,2
15348,3
15409,1
15489,1
