passengerId,longestRun
24,1
340,17
456,16
458,5
739,22
1092,7
1147,2
1214,13
1325,14
1704,2
1836,11
2121,7
2218,4
2576,10
2692,9
2753,7
2859,9
3750,4
3894,11
4087,9
4091,9
4255,12
4264,9
4743,6
4822,12
4869,8
5229,6
5431,11
5648,10
5701,8
5726,7
5874,1
6439,2
6490,4
6537,2
7131,7
7272,2
7323,1
7494,1
7655,7
8470,5
8626,3
8655,2
8797,6
9476,10
9594,2
9747,4
9979,3
10226,5
10447,12
10467,10
10531,6
10687,5
10690,10
11169,4
11200,4
11384,4
11568,3
11579,7
11590,5
11608,2
11637,5
11737,9
11776,5
12281,5
12378,1
12545,6
12719,2
12845,1
13579,6
14028,1
14034,1
14083,1
14283,1
14523,3
14535,2
14646,4
14750,5
15333,2
15468,1
