passengerId,longestRun
234,10
239,13
341,10
610,9
891,13
1437,14
1761,4
1923,10
3193,13
3418,13
3502,9
3595,12
3870,6
3905,14
4010,16
4294,15
4637,9
4817,2
5255,2
5326,4
5406,10
5714,10
6153,6
6336,8
6674,2
6686,1
6996,1
7075,4
7744,9
7962,6
8023,10
8142,8
8503,9
8514,12
8664,13
8772,6
9100,5
9109,1
9243,5
9339,3
9505,16
9629,6
9644,1
9690,6
9860,7
10133,3
10238,9
10417,5
10533,8
10657,2
11159,3
11539,2
11559,10
12023,4
12136,6
12414,5
12424,5
12632,2
12803,1
12925,1
13164,2
13614,7
13708,2
13899,7
13949,2
14130,1
14273,1
14391,1
14614,4
14773,3
14812,1
14906,1
15086,1
15301,2
15429,1
