passengerId,longestRun
12,3
200,1
295,8
355,11
655,10
952,11
1044,15
1466,10
1803,7
2102,7
2111,11
2306,13
2392,14
2440,14
2571,12
2585,3
2656,15
2858,2
3270,1
3441,5
3556,8
4348,9
4426,2
4577,5
4642,6
4759,3
4880,6
5202,3
5321,10
5337,6
6276,2
6314,6
6552,5
6633,9
7688,3
7717,7
7765,12
7927,4
8172,8
8845,9
8895,10
9201,8
9427,7
9854,6
10054,6
10472,4
10696,3
10771,9
10786,8
10890,5
10921,1
11245,5
11363,5
11425,3
11736,4
11803,8
11921,4
11947,4
12042,4
12079,4
12104,3
12283,6
12347,2
12562,4
12662,3
12734,2
12806,6
12850,5
13055,1
13261,6
13406,4
13582,3
13731,11
14202,2
14221,1
14320,2
14449,1
14542,3
14554,3
14789,3
14862,1
14873,1
14930,1
15036,3
15059,2
15164,2
15366,2
15412,1
