passengerId,longestRun
166,3
260,9
468,14
740,15
753,9
801,9
1001,14
1018,5
1167,11
1419,16
1648,4
2029,3
2058,3
2089,4
2129,4
2179,5
2468,14
2490,12
2659,4
2792,8
2904,10
3037,4
3255,7
3599,13
4203,11
4399,21
4443,4
4595,5
4718,9
4979,6
5533,14
5787,18
5911,16
6037,8
6116,10
6271,8
6438,9
6469,7
6588,7
6752,11
6805,19
6814,10
6866,10
6904,9
6958,1
7168,5
7297,2
7433,18
7532,13
7545,9
7728,9
7754,13
7766,10
7915,1
8168,5
8692,8
8822,9
8869,8
8870,6
8873,8
8879,7
8941,7
8968,6
9174,10
9273,4
9357,10
9609,2
9620,18
9767,8
9927,8
9942,10
9982,3
9990,5
9991,14
10119,4
10164,4
10345,6
10354,11
10516,12
10571,5
10712,6
11126,11
11307,8
11368,8
11558,3
12031,6
12165,4
12179,2
12321,2
12456,1
12903,1
12927,4
12996,1
13052,5
13087,1
13356,1
13711,4
14009,4
14335,2
14365,1
14384,1
14494,1
14679,2
15085,1
15273,1
15368,2
15462,1
15480,1
15496,1
