passengerId,longestRun
22,16
198,1
330,6
414,7
530,4
724,15
1211,13
1241,7
1338,14
1526,14
1640,7
1711,3
1905,7
2263,11
2317,4
2355,4
2378,20
2488,17
2489,18
2535,4
2612,14
2681,18
2966,12
3200,4
3368,13
3930,16
4187,6
4206,4
4235,14
4277,5
4478,14
4480,4
4603,10
4935,2
5279,5
5287,10
5396,9
5846,1
5871,3
5895,11
5964,9
6086,13
6226,7
6313,3
6678,10
6809,14
6862,7
7148,10
7392,10
7499,10
7616,12
7985,3
7996,8
8104,3
8174,10
8254,8
8264,3
8965,11
9032,5
9567,2
9672,8
9969,11
10287,1
10321,1
10624,6
10924,3
11037,7
11143,8
11441,1
11595,2
11623,2
11913,1
12047,7
12448,6
12558,7
12929,5
12952,1
13075,1
13091,3
13185,2
13391,6
13465,1
13679,3
13733,1
13802,7
14297,1
14445,1
14804,1
