passengerId,longestRun
69,4
475,2
913,14
1086,10
1148,2
1575,9
1628,8
1646,14
1750,4
1791,10
1938,9
2019,2
2095,1
2258,11
2523,7
2636,9
3367,24
3388,6
3686,6
3833,6
3874,11
3912,13
4014,6
4081,4
4384,13
4527,2
5043,18
5536,5
5539,8
6077,10
6263,6
6278,1
6330,3
6356,8
6655,7
6695,5
6890,8
6984,7
7144,2
7161,2
7250,2
7417,10
7573,8
7743,2
8291,7
8720,8
9138,5
9246,7
9305,11
9428,5
9492,3
9575,7
9984,7
10155,5
10202,4
10274,6
10683,9
10727,10
10756,9
10846,4
11116,3
11664,1
11752,5
11853,8
12018,5
12479,1
12602,2
12763,3
13426,4
13712,2
14515,3
14544,3
14890,1
14952,1
14976,1
15142,3
15442,1
