passengerId,longestRun
138,8
207,12
498,6
511,13
637,14
671,5
866,12
1321,19
1358,6
1576,8
1683,2
2318,5
2560,17
2824,9
3011,8
3032,9
3309,20
3615,17
3740,1
3882,6
3945,5
4227,11
4238,3
4772,17
4804,3
4857,2
4914,8
5098,6
5257,2
5549,13
5824,1
6164,8
6355,5
6411,6
6681,2
6842,3
7341,10
7707,8
7899,13
7928,4
8167,18
8171,7
8743,7
9512,10
9546,4
9580,3
9704,14
9724,2
9803,3
9834,11
10138,5
10150,6
10365,9
10764,10
10907,2
11035,11
11089,12
11247,2
11256,6
11446,3
11995,1
12325,2
12360,2
12519,6
13034,2
13345,3
13602,7
13628,7
13913,2
13928,2
14524,3
14615,1
14859,1
15080,1
15311,3
