passengerId,longestRun
60,1
189,6
545,11
1026,11
1094,3
1270,8
1390,2
1391,10
1904,13
2032,12
2138,13
2156,13
2345,11
2609,10
2886,19
2988,13
3149,16
3393,5
3602,6
3723,4
3941,11
4349,7
4607,16
4641,16
4687,12
4816,19
4830,5
5062,8
5331,6
5637,10
5654,6
6105,4
6464,8
6902,9
7089,7
7163,11
7393,16
7696,11
8326,18
8377,3
8391,4
8491,8
8521,8
8700,2
8878,4
9047,3
9167,1
9333,6
9576,10
9727,7
9898,8
9906,12
9914,6
10443,4
10591,9
10691,5
10824,2
10976,7
10982,4
11252,4
11889,10
12109,6
12341,7
12445,1
12767,3
13131,3
13132,3
13323,1
13671,6
13868,5
13876,6
13888,1
14131,2
14187,3
14269,2
14367,4
14460,1
14606,3
14822,1
14974,1
15039,1
15378,2
15471,1
15494,1
