passengerId,longestRun
428,8
433,2
525,18
553,7
1438,14
1515,4
1933,12
2038,8
2584,4
2744,8
2752,10
2938,8
3276,8
3281,5
3373,5
3380,13
3451,18
3759,13
4012,15
4060,8
4233,7
4575,9
4669,8
4780,6
4788,2
4841,14
5074,12
5541,3
5734,16
6120,10
6312,3
6920,3
7505,16
7547,10
7557,6
7814,12
7959,7
8573,5
8661,8
8735,13
8817,4
9445,10
9904,11
9962,7
10221,1
10230,4
10283,8
10350,11
10545,2
10590,6
10804,1
10811,1
10825,2
10984,1
11086,5
11487,1
11877,3
11976,4
12067,3
12126,7
12166,5
12664,1
12872,4
13238,5
14014,4
14239,3
14477,1
15016,1
15117,2
15423,1
