passengerId1,passengerId2,flightCount
701,760,15
3503,3590,14
2717,2759,14
2939,5490,13
407,2511,12
1337,2867,12
366,374,12
5481,5491,12
3021,9522,12
701,763,12
2759,4316,12
760,763,12
3278,5423,12
2939,4395,12
382,392,12
4016,4059,12
4395,4399,12
1673,4827,12
4316,4373,12
2550,4441,12
7877,9252,12
975,1371,12
1337,1484,12
3590,6813,12
2926,3590,12
1208,3093,12
4316,5491,11
855,10899,11
1733,6507,11
5544,5546,11
4607,4674,11
4200,6205,11
1865,1884,11
3589,9258,11
1337,1371,11
1818,2783,11
7810,9069,11
746,772,11
6418,6447,11
772,1023,11
4034,4046,11
2068,7810,11
4025,4053,11
1666,1696,11
5443,5491,11
816,866,11
6052,6100,11
5443,5481,11
4009,4339,11
9752,9828,11
226,624,11
928,975,11
1337,1464,11
716,724,11
3735,7685,11
4316,5481,11
901,2906,11
2717,4316,11
1001,1023,11
4451,7560,11
10541,10576,11
1053,3477,11
7747,9522,11
3021,3090,11
1966,6777,11
2959,2969,11
4541,7162,11
7902,9369,11
366,752,11
2759,4373,11
392,1849,11
382,7560,11
1678,2097,11
2939,2959,11
4011,4044,11
1046,4552,11
382,4451,11
360,1029,11
755,771,11
6113,8679,11
7866,7872,11
1208,5789,11
288,1343,11
2939,2969,11
733,752,11
4260,4294,10
1484,2511,10
1484,2867,10
4388,4399,10
4249,6813,10
8260,8262,10
8363,10368,10
10767,11871,10
11046,11074,10
4682,4700,10
1337,1955,10
374,739,10
2926,3503,10
3278,8158,10
1865,2773,10
4316,5443,10
928,1371,10
391,1662,10
760,1095,10
1447,4441,10
1677,3590,10
2476,2489,10
4388,4395,10
1884,2773,10
1447,2550,10
4249,6447,10
2939,4399,10
10716,10767,10
2905,2988,10
751,763,10
3503,6813,10
2068,2408,10
3896,5375,10
5491,5500,10
6084,8961,10
701,751,10
1884,4607,10
5596,6418,10
5494,5500,10
362,368,10
5792,5946,10
4395,5490,10
1208,6813,10
5966,5977,10
1772,7327,10
2960,4850,10
9069,9098,10
1378,2489,10
928,1337,10
624,670,10
5481,5500,10
733,739,10
1635,1677,10
12323,13221,10
5911,5989,10
7662,7866,10
5440,5481,10
928,2511,10
3418,4249,10
2231,5522,10
5101,5111,10
3544,3576,10
4009,4083,10
6522,6548,10
606,3169,10
4339,5414,10
975,5423,10
2759,5481,10
2776,2857,10
739,752,10
5482,8190,10
5464,5478,10
2201,8679,10
1464,1696,10
1677,4249,10
4774,6560,10
5440,5494,10
5443,5494,10
1337,2939,10
5744,5798,10
3847,3865,10
5491,5494,10
10702,10719,10
3278,7039,10
9258,9282,10
5481,5494,10
751,760,10
2201,8596,10
2223,2441,10
374,752,10
1041,2489,10
2857,2926,10
2681,2697,10
5789,6813,10
477,3120,10
5505,5566,10
1677,7605,10
1822,1849,10
1849,9066,10
1041,1378,10
3590,4249,10
10016,10083,10
92,3802,10
5440,5443,10
859,10478,10
4012,4080,10
716,760,10
975,1337,10
4012,4083,10
2759,5443,10
5440,5491,10
3180,4483,10
274,275,10
4609,4656,10
8596,8679,10
2294,4969,10
1677,6813,10
5423,8158,10
2511,2867,10
5440,5500,10
392,9066,10
5443,5500,10
3418,3590,10
1464,1666,10
8562,8584,10
3466,9742,10
3418,6813,10
701,1095,10
75,11296,10
1064,7579,10
4056,8363,10
4009,4012,10
2926,6813,10
3223,8257,10
3356,6805,10
2759,5491,10
1666,4044,9
13657,13668,9
740,746,9
1651,4082,9
928,1484,9
4042,4316,9
4316,4399,9
1677,2857,9
2097,9828,9
5431,5448,9
10719,10764,9
288,2097,9
5761,5788,9
419,2488,9
1228,1287,9
1865,4607,9
2482,3278,9
11175,11180,9
2511,4053,9
3503,7866,9
167,7162,9
2941,4016,9
975,2939,9
3589,9282,9
3590,7605,9
4042,4053,9
2717,2867,9
4042,4388,9
4083,4339,9
10203,10234,9
2773,6878,9
4316,4388,9
4917,10022,9
374,733,9
3735,8289,9
7605,8190,9
740,772,9
4404,7636,9
4468,5509,9
716,761,9
763,795,9
3356,7505,9
5808,5865,9
8006,8036,9
915,930,9
975,2511,9
1351,1377,9
1371,2969,9
1023,1053,9
407,1484,9
1078,6003,9
3421,3477,9
2117,2174,9
2959,4388,9
6777,11276,9
901,2857,9
4674,4969,9
1371,2939,9
5423,7039,9
1677,5482,9
5787,5795,9
479,8596,9
701,772,9
4942,4969,9
4942,4990,9
740,763,9
2886,5490,9
8664,11198,9
1272,2501,9
3677,11275,9
701,740,9
950,997,9
4013,4016,9
139,3889,9
928,2969,9
701,716,9
751,772,9
1208,3590,9
1715,2231,9
2717,5440,9
2911,2988,9
4025,4042,9
288,1678,9
4044,4080,9
4389,8078,9
5706,5744,9
4339,4399,9
9540,10067,9
368,1023,9
2759,5440,9
4066,4080,9
1001,1095,9
2717,5500,9
3292,4550,9
3418,6447,9
5912,5978,9
6180,8519,9
364,368,9
731,774,9
2511,2717,9
407,2939,9
9540,13221,9
211,6084,9
2062,2075,9
3021,3078,9
4042,4395,9
7820,7872,9
5414,5426,9
5522,7209,9
7820,7866,9
4316,4395,9
6813,7605,9
716,751,9
7721,10067,9
746,1001,9
1001,1053,9
2294,3544,9
7643,8590,9
205,255,9
407,2959,9
2440,2486,9
5530,7677,9
5716,5731,9
2201,6113,9
2225,2271,9
2857,3590,9
1733,5869,9
1413,4200,9
1613,8461,9
4011,4012,9
8562,8596,9
10322,10334,9
701,746,9
813,833,9
1371,1484,9
2529,4852,9
740,751,9
1208,1677,9
4012,4066,9
7605,7685,9
9063,11275,9
8529,9355,9
746,1023,9
6113,8596,9
1371,2867,9
724,746,9
61,2345,9
716,746,9
1666,2789,9
2776,2906,9
950,959,9
3527,3937,9
4066,4083,9
4820,7209,9
1865,4674,9
4042,4399,9
5744,5769,9
603,649,9
13731,13781,9
441,1646,9
1966,3361,9
2759,5494,9
4364,5016,9
11276,11296,9
746,763,9
740,760,9
1677,3278,9
4009,4066,9
10313,10396,9
746,751,9
855,9282,9
1007,1038,9
4009,4080,9
167,855,9
716,740,9
2068,9069,9
3021,7747,9
4316,5494,9
5464,5486,9
8290,10350,9
13249,13296,9
928,2867,9
1677,8190,9
2776,2783,9
2939,6020,9
4552,6089,9
10702,10764,9
479,6113,9
4080,4083,9
928,4053,9
1025,1026,9
2717,5491,9
248,2576,9
1208,2886,9
6017,6064,9
2773,4607,9
2857,6813,9
3913,3924,9
4841,4881,9
5456,5490,9
716,772,9
2867,2939,9
248,275,9
4034,7209,9
5734,5771,9
3361,11276,9
3802,7810,9
5771,5798,9
2479,10023,9
8037,8068,9
10067,12323,9
4523,5434,9
2926,7220,9
4009,5426,9
4011,4083,9
4451,10702,9
4451,10719,9
3590,7866,9
746,760,9
5706,5761,9
5706,5720,9
443,2560,9
3278,3590,9
1666,4011,9
5744,5771,9
167,9282,9
264,271,9
707,793,9
750,773,9
920,2437,9
2988,4344,9
5482,7605,9
394,468,9
1646,1677,9
2759,2867,9
7747,8596,9
2857,2906,9
4009,4044,9
366,733,9
4056,4363,9
4675,4917,9
4774,8262,9
760,772,9
975,2867,9
4774,8260,9
763,1095,9
6560,8262,9
407,2867,9
975,2969,9
1884,4674,9
2886,5989,9
230,264,9
901,2776,9
2964,8810,9
4009,4011,9
724,1053,9
1332,2905,9
928,4025,9
5478,5486,9
763,772,9
2773,4674,9
2857,6707,9
5481,6017,9
727,752,9
1678,9828,9
4171,6208,9
1158,4761,9
3590,5789,9
368,3414,9
772,1001,9
1715,7209,9
4011,4080,9
368,1001,9
975,1484,9
3002,3028,9
5731,5743,9
724,751,9
4165,9049,9
4969,4990,9
2509,4609,9
1747,8684,9
2926,6707,9
5420,5467,9
1337,2969,9
4012,4339,9
7685,8289,9
364,1023,9
4009,4399,9
724,763,9
2717,5443,9
6548,10083,9
53,2062,9
979,1351,9
1337,2511,9
4827,11225,9
5867,8045,9
756,4384,9
1484,2759,9
